Spine,LeftUpLeg,RightUpLeg,Spine2,Neck,RightArm,RightShoulder,LeftArm,LeftShoulder,RightLeg,LeftLeg
"(nan, nan, nan)","(180.0, 180.0, 93.659)","(0.0, 180.0, 90.9805)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.7678)","(180.0, 180.0, 173.2902)","(0.0, 180.0, 90.8208)","(180.0, 0.0, 138.1701)","(0.0, 180.0, 78.2819)","(180.0, 0.0, 173.1999)","(180.0, 180.0, 179.8079)"
"(nan, nan, nan)","(180.0, 180.0, 92.4124)","(0.0, 180.0, 92.1084)","(180.0, 180.0, 180.0)","(180.0, 180.0, 179.2373)","(180.0, 180.0, 162.2842)","(0.0, 180.0, 94.5838)","(180.0, 0.0, 137.5579)","(0.0, 180.0, 79.0159)","(180.0, 0.0, 173.1946)","(180.0, 180.0, 179.8828)"
"(nan, nan, nan)","(180.0, 180.0, 93.6048)","(0.0, 180.0, 92.083)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.9103)","(180.0, 180.0, 140.7391)","(0.0, 180.0, 93.3459)","(180.0, 0.0, 137.4195)","(0.0, 180.0, 79.1913)","(180.0, 0.0, 173.1946)","(180.0, 180.0, 178.7374)"
"(nan, nan, nan)","(180.0, 180.0, 93.5562)","(0.0, 180.0, 92.0208)","(180.0, 180.0, 180.0)","(180.0, 180.0, 178.9103)","(0.0, 180.0, 119.6551)","(0.0, 180.0, 94.2783)","(180.0, 0.0, 137.4195)","(0.0, 180.0, 79.1913)","(180.0, 0.0, 173.184)","(180.0, 180.0, 178.8085)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 92.0208)","(180.0, 180.0, nan)","(180.0, 180.0, 178.8682)","(0.0, 180.0, 95.3893)","(0.0, 180.0, 97.6261)","(180.0, 0.0, 138.1701)","(0.0, 180.0, 77.9671)","(180.0, 0.0, 173.184)","(180.0, 180.0, 178.8785)"
"(nan, nan, nan)","(180.0, 180.0, 92.3646)","(0.0, 180.0, 92.0208)","(180.0, 180.0, nan)","(180.0, 180.0, 178.8682)","(0.0, 180.0, 75.3355)","(0.0, 180.0, 101.1409)","(180.0, 0.0, 137.1725)","(0.0, 180.0, 78.2582)","(180.0, 0.0, 173.184)","(180.0, 180.0, 178.7598)"
"(nan, nan, nan)","(180.0, 180.0, 92.388)","(0.0, 180.0, 92.0208)","(180.0, 180.0, nan)","(180.0, 180.0, 178.3983)","(0.0, 180.0, 66.2393)","(0.0, 180.0, 102.4507)","(180.0, 0.0, 137.1725)","(0.0, 180.0, 78.7504)","(180.0, 0.0, 173.184)","(180.0, 180.0, 178.8318)"
"(nan, nan, nan)","(180.0, 180.0, 92.4124)","(0.0, 180.0, 92.083)","(180.0, 180.0, nan)","(180.0, 180.0, 178.3983)","(0.0, 180.0, 66.3895)","(0.0, 180.0, 106.3323)","(180.0, 0.0, 137.1725)","(0.0, 180.0, 78.7504)","(180.0, 0.0, 173.1218)","(180.0, 180.0, 178.9029)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 92.083)","(180.0, 180.0, nan)","(180.0, 180.0, 178.3983)","(0.0, nan, 64.8552)","(0.0, 180.0, 109.1967)","(180.0, 0.0, 137.1725)","(0.0, 180.0, 78.7504)","(180.0, 0.0, 173.1218)","(180.0, nan, 176.6335)"
"(nan, nan, nan)","(180.0, nan, 91.2189)","(0.0, 180.0, 92.1476)","(180.0, 180.0, 180.0)","(180.0, 180.0, 176.9192)","(0.0, 0.0, 62.7782)","(0.0, 180.0, 113.4247)","(180.0, 0.0, 136.3099)","(0.0, 180.0, 78.1764)","(180.0, 0.0, 173.13)","(180.0, nan, 176.7603)"
"(nan, nan, nan)","(180.0, 180.0, 92.5184)","(0.0, 180.0, 92.1883)","(180.0, 180.0, nan)","(180.0, 180.0, 178.6056)","(0.0, 0.0, 61.0631)","(0.0, 180.0, 112.741)","(180.0, 0.0, 135.3449)","(0.0, 180.0, 79.1224)","(180.0, 0.0, 173.1327)","(180.0, 180.0, 178.0333)"
"(nan, nan, nan)","(180.0, 180.0, 92.5184)","(0.0, 180.0, 92.2582)","(180.0, 180.0, nan)","(180.0, 180.0, 178.6056)","(0.0, 0.0, 62.2278)","(0.0, 180.0, 115.4643)","(180.0, 0.0, 134.7862)","(0.0, 180.0, 79.8619)","(180.0, 0.0, 173.13)","(180.0, 180.0, 178.0333)"
